Modelo;Período;Bin;Probabilidade média prevista;Frequência observada
Regressão Logística;Teste;1;0.2094385807159937;0.17106200997861726
Regressão Logística;Teste;2;0.2756665163948001;0.21739130434782608
Regressão Logística;Teste;3;0.32732422856363863;0.2674750356633381
Regressão Logística;Teste;4;0.37407147507119487;0.33713471133285816
Regressão Logística;Teste;5;0.415773985274959;0.36564504632929434
Regressão Logística;Teste;6;0.4564512567008648;0.4115549215406562
Regressão Logística;Teste;7;0.4989915682513246;0.45260156806842483
Regressão Logística;Teste;8;0.5496268016132596;0.47717546362339514
Regressão Logística;Teste;9;0.6120041092609816;0.5231646471846044
Regressão Logística;Teste;10;0.7072539203996644;0.6229508196721312
Regressão Logística;OOT;1;0.19394357484623384;0.17051122194513715
Regressão Logística;OOT;2;0.24826236871054957;0.16775802931088243
Regressão Logística;OOT;3;0.2890370407748921;0.19176800748362957
Regressão Logística;OOT;4;0.32981881808445945;0.21571072319201995
Regressão Logística;OOT;5;0.37094809467310935;0.24890829694323144
Regressão Logística;OOT;6;0.4137774688231328;0.28313065169940754
Regressão Logística;OOT;7;0.4577954848573723;0.30651699407545996
Regressão Logística;OOT;8;0.5070675115322314;0.36077330838790145
Regressão Logística;OOT;9;0.56832608816553;0.42594324914250076
Regressão Logística;OOT;10;0.6737062965273084;0.4816084788029925
KNN;Teste;1;0.18261743817917087;0.19694960212201593
KNN;Teste;2;0.27531719649796366;0.2597968069666183
KNN;Teste;3;0.33952547673273126;0.3240252897787144
KNN;Teste;4;0.38709677419354144;0.35714285714285715
KNN;Teste;5;0.419354838709683;0.3905862923203964
KNN;Teste;6;0.4678986729560818;0.3965756594169366
KNN;Teste;7;0.5161290322580606;0.44728761514841353
KNN;Teste;8;0.5628168029364335;0.46357615894039733
KNN;Teste;9;0.6274056732844853;0.48444863336475025
KNN;Teste;10;0.739157706093186;0.6333333333333333
KNN;OOT;1;0.18563194314029485;0.18808777429467086
KNN;OOT;2;0.25806451612902764;0.2038735983690112
KNN;OOT;3;0.3077588159005173;0.22612210168049351
KNN;OOT;4;0.35483870967743103;0.23723968966925277
KNN;OOT;5;0.3870967741935396;0.25319789315274643
KNN;OOT;6;0.43462939400746686;0.29698375870069604
KNN;OOT;7;0.48387096774194516;0.3232588699080158
KNN;OOT;8;0.5161290322580551;0.35626535626535627
KNN;OOT;9;0.5631016523885907;0.3805392004958165
KNN;OOT;10;0.6669217801404491;0.4376402693170888
Random Forest;Teste;1;0.24102315024708768;0.1660727013542409
Random Forest;Teste;2;0.30666083022228374;0.19814682822523164
Random Forest;Teste;3;0.3586433323597007;0.2838801711840228
Random Forest;Teste;4;0.39916505898810695;0.33856022808268
Random Forest;Teste;5;0.432813530881124;0.38132573057733427
Random Forest;Teste;6;0.4626684613856352;0.40014265335235377
Random Forest;Teste;7;0.4936253248024889;0.45545260156806844
Random Forest;Teste;8;0.5301904370060381;0.46790299572039945
Random Forest;Teste;9;0.5738821506309917;0.5217391304347826
Random Forest;Teste;10;0.6549647163085823;0.6329294369208838
Random Forest;OOT;1;0.23094662250919595;0.16983483951386724
Random Forest;OOT;2;0.28131623090798774;0.16500311915159077
Random Forest;OOT;3;0.32322319302586094;0.17149984409105082
Random Forest;OOT;4;0.3615787584504999;0.2119700748129676
Random Forest;OOT;5;0.3968134688604068;0.2595134123518403
Random Forest;OOT;6;0.4299498468932089;0.27876520112254444
Random Forest;OOT;7;0.46267739709152705;0.31805425631431244
Random Forest;OOT;8;0.4982675814053881;0.3679451200498909
Random Forest;OOT;9;0.5405542894750224;0.424384159650764
Random Forest;OOT;10;0.611218870639792;0.48566084788029923
Gradient Boosting;Teste;1;0.22595627941375257;0.16796598157335224
Gradient Boosting;Teste;2;0.2827948686835169;0.19402985074626866
Gradient Boosting;Teste;3;0.35193092168899226;0.2962697274031564
Gradient Boosting;Teste;4;0.3974278724993266;0.32168330955777463
Gradient Boosting;Teste;5;0.4283261500339704;0.3724235963041933
Gradient Boosting;Teste;6;0.45985561687767607;0.43951324266284897
Gradient Boosting;Teste;7;0.49437656303467625;0.4346590909090909
Gradient Boosting;Teste;8;0.5321326040046108;0.4831541218637993
Gradient Boosting;Teste;9;0.5819073560971142;0.5003563791874555
Gradient Boosting;Teste;10;0.6757058487329314;0.6379187455452602
Gradient Boosting;OOT;1;0.21562167275848299;0.16734059097978227
Gradient Boosting;OOT;2;0.25831663295960455;0.167965098161421
Gradient Boosting;OOT;3;0.2969832471557588;0.1696875
Gradient Boosting;OOT;4;0.3517407748110336;0.23193798449612404
Gradient Boosting;OOT;5;0.3940090106169546;0.2572145545796738
Gradient Boosting;OOT;6;0.4263020717249967;0.27682737169517885
Gradient Boosting;OOT;7;0.4599659095345021;0.31207004377736086
Gradient Boosting;OOT;8;0.4993266374865692;0.3730232558139535
Gradient Boosting;OOT;9;0.5458028137118024;0.41791979949874686
Gradient Boosting;OOT;10;0.6313679679810639;0.4792511700468019
