AAAA_MM;Resolvida;Não Resolvida;Não Avaliada;Total
2022_08;199;154;417;770
2022_09;215;183;403;801
2022_10;175;148;397;720
2022_11;189;208;419;816
2022_12;211;179;780;1170
2023_01;188;172;438;798
2023_02;150;147;307;604
2023_03;245;409;858;1512
2023_04;196;258;842;1296
2023_05;203;208;541;952
2023_06;218;395;564;1177
2023_07;268;470;891;1629
2023_08;297;471;1452;2220
2023_09;241;309;927;1477
2023_10;227;260;1260;1747
2023_11;217;242;1036;1495
2023_12;200;235;961;1396
2024_01;182;221;883;1286
2024_02;196;233;888;1317
2024_03;270;332;822;1424
2024_04;317;368;1127;1812
2024_05;291;340;648;1279
2024_06;321;295;1191;1807
2024_07;290;289;268;847
2024_08;301;326;1508;2135
2024_09;290;272;1609;2171
2024_10;406;461;2159;3026
2024_11;447;696;4017;5160
2024_12;401;519;3367;4287
2025_01;418;700;2693;3811
2025_02;438;648;3145;4231
2025_03;364;606;2905;3875
2025_04;641;1020;5321;6982
2025_05;579;1039;3861;5479
2025_06;554;1179;4449;6182
2025_07;556;1166;3859;5581
2025_08;633;1389;4795;6817
2025_09;670;1550;5616;7836
2025_10;709;1514;5596;7819
2025_11;507;1602;4506;6615
2025_12;515;1432;11013;12960
2026_01;554;1341;6178;8073
2026_02;650;1793;7664;10107
2026_03;857;2329;7892;11078
2026_04;858;2373;8694;11925
2026_05;1058;2696;9020;12774
2026_06;1163;2513;12456;16132
2026_07;975;2391;11096;14462
