AAAA_MM;Resolvida;Não Resolvida;Não Avaliada
2022_08;25.84;20.0;54.16
2022_09;26.84;22.85;50.31
2022_10;24.31;20.56;55.14
2022_11;23.16;25.49;51.35
2022_12;18.03;15.3;66.67
2023_01;23.56;21.55;54.89
2023_02;24.83;24.34;50.83
2023_03;16.2;27.05;56.75
2023_04;15.12;19.91;64.97
2023_05;21.32;21.85;56.83
2023_06;18.52;33.56;47.92
2023_07;16.45;28.85;54.7
2023_08;13.38;21.22;65.41
2023_09;16.32;20.92;62.76
2023_10;12.99;14.88;72.12
2023_11;14.52;16.19;69.3
2023_12;14.33;16.83;68.84
2024_01;14.15;17.19;68.66
2024_02;14.88;17.69;67.43
2024_03;18.96;23.31;57.72
2024_04;17.49;20.31;62.2
2024_05;22.75;26.58;50.66
2024_06;17.76;16.33;65.91
2024_07;34.24;34.12;31.64
2024_08;14.1;15.27;70.63
2024_09;13.36;12.53;74.11
2024_10;13.42;15.23;71.35
2024_11;8.66;13.49;77.85
2024_12;9.35;12.11;78.54
2025_01;10.97;18.37;70.66
2025_02;10.35;15.32;74.33
2025_03;9.39;15.64;74.97
2025_04;9.18;14.61;76.21
2025_05;10.57;18.96;70.47
2025_06;8.96;19.07;71.97
2025_07;9.96;20.89;69.15
2025_08;9.29;20.38;70.34
2025_09;8.55;19.78;71.67
2025_10;9.07;19.36;71.57
2025_11;7.66;24.22;68.12
2025_12;3.97;11.05;84.98
2026_01;6.86;16.61;76.53
2026_02;6.43;17.74;75.83
2026_03;7.74;21.02;71.24
2026_04;7.19;19.9;72.91
2026_05;8.28;21.11;70.61
2026_06;7.21;15.58;77.21
2026_07;6.74;16.53;76.73
