AAAA_MM;Período;Modelo;N;Prevalência;ROC-AUC;PR-AUC;Brier Score
2024_08;Teste;Gradient Boosting;627;0.4800637958532695;0.6522990848500907;0.6273647415565577;0.23065356730578324
2024_08;Teste;KNN;627;0.4800637958532695;0.6271426533232782;0.5835509986687349;0.23947675451043654
2024_08;Teste;Random Forest;627;0.4800637958532695;0.6508010109451113;0.6182071183838973;0.23201900775915657
2024_08;Teste;Regressão Logística;627;0.4800637958532695;0.6444927949778856;0.6256054665577515;0.23261864907961646
2024_09;Teste;Gradient Boosting;562;0.5160142348754448;0.628125;0.6374494693585276;0.2373389607494859
2024_09;Teste;KNN;562;0.5160142348754448;0.6265846855983773;0.6343270923714412;0.23956732496176505
2024_09;Teste;Random Forest;562;0.5160142348754448;0.6303245436105478;0.6460518996593698;0.23620910181871888
2024_09;Teste;Regressão Logística;562;0.5160142348754448;0.6115872210953347;0.6245185753467712;0.24343314776201297
2024_10;Teste;Gradient Boosting;867;0.4682814302191465;0.6546381287199597;0.6112250174879142;0.23036521067810448
2024_10;Teste;KNN;867;0.4682814302191465;0.6283860316510478;0.5995495938793864;0.2358690185996661
2024_10;Teste;Random Forest;867;0.4682814302191465;0.6618215915283759;0.6367754552479812;0.22915938029890867
2024_10;Teste;Regressão Logística;867;0.4682814302191465;0.6639320175672931;0.6172523341602818;0.22917090981358415
2024_11;Teste;Gradient Boosting;1143;0.3910761154855643;0.6698102291136311;0.5505151213610214;0.22120460997299404
2024_11;Teste;KNN;1143;0.3910761154855643;0.6289535601326853;0.5231369967608029;0.22930419337541183
2024_11;Teste;Random Forest;1143;0.3910761154855643;0.6783216333667618;0.5627400559835763;0.22024151931790928
2024_11;Teste;Regressão Logística;1143;0.3910761154855643;0.6643041734166474;0.5345180354080405;0.2231690477227979
2024_12;Teste;Gradient Boosting;920;0.4358695652173913;0.6743617834027649;0.6092922215525267;0.22309922969963525
2024_12;Teste;KNN;920;0.4358695652173913;0.6356891970459209;0.5498200836539968;0.2334660453332127
2024_12;Teste;Random Forest;920;0.4358695652173913;0.6708397599450315;0.5997736337370055;0.22486690023735081
2024_12;Teste;Regressão Logística;920;0.4358695652173913;0.6822659151735304;0.5989591762461238;0.22219471117220835
2025_01;Teste;Gradient Boosting;1118;0.3738819320214669;0.6363465481886534;0.5094600484361185;0.2250501805029854
2025_01;Teste;KNN;1118;0.3738819320214669;0.6218626110731375;0.4899592658766116;0.2287327414980296
2025_01;Teste;Random Forest;1118;0.3738819320214669;0.6303503075871497;0.4995344051875355;0.2266333477749718
2025_01;Teste;Regressão Logística;1118;0.3738819320214669;0.6319087491455913;0.4892945025343848;0.2280243516222131
2025_02;Teste;Gradient Boosting;1086;0.40331491712707185;0.6575800496082079;0.5317044089647078;0.2248744697159694
2025_02;Teste;KNN;1086;0.40331491712707185;0.6159574243192966;0.49326802575810547;0.23602543391149877
2025_02;Teste;Random Forest;1086;0.40331491712707185;0.6519321833248773;0.5251141028862714;0.2261156394388917
2025_02;Teste;Regressão Logística;1086;0.40331491712707185;0.6514424432042393;0.5298835273668165;0.22707426756917254
2025_03;Teste;Gradient Boosting;970;0.3752577319587629;0.6762797845718638;0.5372395905430791;0.21818277412147116
2025_03;Teste;KNN;970;0.3752577319587629;0.6382557211765132;0.4954539339277355;0.22576246821931623
2025_03;Teste;Random Forest;970;0.3752577319587629;0.6746658869183622;0.5408931460110087;0.2182328922118092
2025_03;Teste;Regressão Logística;970;0.3752577319587629;0.6729205200739854;0.5273239148656894;0.21924730107464124
2025_04;Teste;Gradient Boosting;1661;0.38591210114388924;0.6717720473524823;0.548606205192157;0.22011658072704224
2025_04;Teste;KNN;1661;0.38591210114388924;0.6223624239087211;0.49173326473033335;0.23114781725086941
2025_04;Teste;Random Forest;1661;0.38591210114388924;0.6734972928328897;0.5539742171809403;0.22027032864912582
2025_04;Teste;Regressão Logística;1661;0.38591210114388924;0.667677648282402;0.5251318250274761;0.2216850937852906
2025_05;Teste;Gradient Boosting;1618;0.357849196538937;0.6806772487827907;0.5371139177637034;0.2161071933677799
2025_05;Teste;KNN;1618;0.357849196538937;0.6488519418000236;0.4995815281108686;0.22323264934420137
2025_05;Teste;Random Forest;1618;0.357849196538937;0.6811244038624891;0.5325038303206278;0.2168105300287231
2025_05;Teste;Regressão Logística;1618;0.357849196538937;0.6762555665820562;0.5173467878316875;0.21777255772825718
2025_06;Teste;Gradient Boosting;1733;0.31967686093479514;0.6498455216591188;0.46781834005526524;0.21629726520125594
2025_06;Teste;KNN;1733;0.31967686093479514;0.615210375310411;0.4122330793450223;0.22589832071684324
2025_06;Teste;Random Forest;1733;0.31967686093479514;0.652602860528564;0.46334665159720295;0.21709635336439173
2025_06;Teste;Regressão Logística;1733;0.31967686093479514;0.6542379731951754;0.4696777409812724;0.2160850074613621
2025_07;Teste;Gradient Boosting;1722;0.3228803716608595;0.6440453126349692;0.45574854610498766;0.21465852956074336
2025_07;Teste;KNN;1722;0.3228803716608595;0.6095186458037686;0.41639364669828444;0.22266657481499744
2025_07;Teste;Random Forest;1722;0.3228803716608595;0.6521858842257241;0.4587343055746587;0.21471402288210045
2025_07;Teste;Regressão Logística;1722;0.3228803716608595;0.6408083653146094;0.4540859718937371;0.21622913165903773
2025_08;OOT;Gradient Boosting;2022;0.31305637982195844;0.6291483411184926;0.4387702933701396;0.21437038157681151
2025_08;OOT;KNN;2022;0.31305637982195844;0.5933843775910249;0.40075821198666645;0.22320911184051398
2025_08;OOT;Random Forest;2022;0.31305637982195844;0.6371689316987342;0.44342531166331683;0.21437383847586297
2025_08;OOT;Regressão Logística;2022;0.31305637982195844;0.6342686897844381;0.4383813064237819;0.21373114235056112
2025_09;OOT;Gradient Boosting;2220;0.30180180180180183;0.6447794896485315;0.43148506881640136;0.20935813890068689
2025_09;OOT;KNN;2220;0.30180180180180183;0.6140168512277323;0.39903198502373133;0.21575264129894722
2025_09;OOT;Random Forest;2220;0.30180180180180183;0.6527881559942225;0.4456254271815504;0.2088404124605449
2025_09;OOT;Regressão Logística;2220;0.30180180180180183;0.6428979297063072;0.43127900469607816;0.21033615710987444
2025_10;OOT;Gradient Boosting;2223;0.31893837156995053;0.6237733201916108;0.43764906066248155;0.2163821014025783
2025_10;OOT;KNN;2223;0.31893837156995053;0.5827220507049392;0.3905359085959992;0.22800838645079843
2025_10;OOT;Random Forest;2223;0.31893837156995053;0.6249014836607274;0.44220715444282493;0.21670765150078394
2025_10;OOT;Regressão Logística;2223;0.31893837156995053;0.627656214774004;0.4438543688968921;0.21614686972042838
2025_11;OOT;Gradient Boosting;2109;0.24039829302987198;0.6551099833295165;0.3744158220029491;0.19552151421373107
2025_11;OOT;KNN;2109;0.24039829302987198;0.630421292910489;0.343155932402936;0.20167667530611832
2025_11;OOT;Random Forest;2109;0.24039829302987198;0.6641174616541946;0.38952808427967467;0.19597302441128642
2025_11;OOT;Regressão Logística;2109;0.24039829302987198;0.6532951906763489;0.3800307866762409;0.19428534030544298
2025_12;OOT;Gradient Boosting;1947;0.2645095017976374;0.6594944947659598;0.38388152751031124;0.20179248381422074
2025_12;OOT;KNN;1947;0.2645095017976374;0.6314361067418777;0.35942180928614337;0.2085216617042575
2025_12;OOT;Random Forest;1947;0.2645095017976374;0.65696357867332;0.386088739195329;0.20404099023916433
2025_12;OOT;Regressão Logística;1947;0.2645095017976374;0.6579615718392364;0.38694120238573027;0.2020458306554182
2026_01;OOT;Gradient Boosting;1895;0.29234828496042214;0.6391325240875794;0.3952761392452677;0.2118867189415565
2026_01;OOT;KNN;1895;0.29234828496042214;0.5914217527196957;0.3483099361732619;0.2216512592698349
2026_01;OOT;Random Forest;1895;0.29234828496042214;0.6474565023677035;0.40833653244249685;0.21137560519889545
2026_01;OOT;Regressão Logística;1895;0.29234828496042214;0.6447724770296428;0.4045463557297392;0.2117969940216008
2026_02;OOT;Gradient Boosting;2443;0.26606631191158414;0.6301420052340297;0.37400820824186615;0.2083059438900975
2026_02;OOT;KNN;2443;0.26606631191158414;0.6196653653095371;0.36253169264272483;0.2103710701816185
2026_02;OOT;Random Forest;2443;0.26606631191158414;0.6380183620060922;0.37612384182076913;0.20820090011825354
2026_02;OOT;Regressão Logística;2443;0.26606631191158414;0.6291376721438071;0.37081331292950276;0.20937205953563737
2026_03;OOT;Gradient Boosting;3186;0.2689893283113622;0.6506756421619146;0.4073162029435112;0.20429515897813166
2026_03;OOT;KNN;3186;0.2689893283113622;0.6169947388540713;0.36774228685310645;0.21051844274476067
2026_03;OOT;Random Forest;3186;0.2689893283113622;0.6593431809266049;0.4196854697681982;0.2044797778452551
2026_03;OOT;Regressão Logística;3186;0.2689893283113622;0.649131517625916;0.4032550170306437;0.2048896890079256
2026_04;OOT;Gradient Boosting;3231;0.265552460538533;0.647662809167234;0.3881173155045672;0.20547598506233464
2026_04;OOT;KNN;3231;0.265552460538533;0.6069955118627686;0.3428780199641317;0.21380641683019372
2026_04;OOT;Random Forest;3231;0.265552460538533;0.6466746134887728;0.39382278000327975;0.2072308143379566
2026_04;OOT;Regressão Logística;3231;0.265552460538533;0.635631084746129;0.38224373226919767;0.20748838059134567
2026_05;OOT;Gradient Boosting;3754;0.2818327117741076;0.6480564569508562;0.42256278147606346;0.20607517180407114
2026_05;OOT;KNN;3754;0.2818327117741076;0.6047212351281462;0.36750893136783835;0.2160985964606882
2026_05;OOT;Random Forest;3754;0.2818327117741076;0.6491688660088741;0.42888809246381066;0.20758147641572072
2026_05;OOT;Regressão Logística;3754;0.2818327117741076;0.6459392687058612;0.4255218915774245;0.206447236033603
2026_06;OOT;Gradient Boosting;3676;0.31637649619151254;0.6466480920024129;0.4458957425908164;0.21567029968014298
2026_06;OOT;KNN;3676;0.31637649619151254;0.6049606534413141;0.3969039621166514;0.22482531458095315
2026_06;OOT;Random Forest;3676;0.31637649619151254;0.642454592952417;0.4420042276667133;0.21698414774365812
2026_06;OOT;Regressão Logística;3676;0.31637649619151254;0.6452852732429373;0.44694821414659425;0.2166736755912113
2026_07;OOT;Gradient Boosting;3366;0.2896613190730838;0.6515209814582462;0.4170424891458777;0.21266758368015073
2026_07;OOT;KNN;3366;0.2896613190730838;0.6108217782496327;0.3772260082120294;0.22009901302305046
2026_07;OOT;Random Forest;3366;0.2896613190730838;0.6516237171444198;0.4118632216206842;0.2138045862100149
2026_07;OOT;Regressão Logística;3366;0.2896613190730838;0.6457589893725402;0.411659440016805;0.21489731078932228
