AAAA_MM;Periodo_Avaliacao;N;Prevalência
2024_08;Teste;627;0.4800637958532695
2024_09;Teste;562;0.5160142348754448
2024_10;Teste;867;0.4682814302191465
2024_11;Teste;1143;0.3910761154855643
2024_12;Teste;920;0.4358695652173913
2025_01;Teste;1118;0.3738819320214669
2025_02;Teste;1086;0.40331491712707185
2025_03;Teste;970;0.3752577319587629
2025_04;Teste;1661;0.38591210114388924
2025_05;Teste;1618;0.357849196538937
2025_06;Teste;1733;0.31967686093479514
2025_07;Teste;1722;0.3228803716608595
2025_08;OOT;2022;0.31305637982195844
2025_09;OOT;2220;0.30180180180180183
2025_10;OOT;2223;0.31893837156995053
2025_11;OOT;2109;0.24039829302987198
2025_12;OOT;1947;0.2645095017976374
2026_01;OOT;1895;0.29234828496042214
2026_02;OOT;2443;0.26606631191158414
2026_03;OOT;3186;0.2689893283113622
2026_04;OOT;3231;0.265552460538533
2026_05;OOT;3754;0.2818327117741076
2026_06;OOT;3676;0.31637649619151254
2026_07;OOT;3366;0.2896613190730838
