Variável original;Permutation Importance;Importância interna;Modelo
Assunto;-0.011015775480015023;0.11199856890760122;Random Forest
Cidade;0.0006603564041994025;0.0934272080782585;Random Forest
Como Comprou Contratou;-0.0020680096409604887;0.06265833075517768;Random Forest
Faixa Etária;-0.008363512399541495;0.08810256517101053;Random Forest
Grupo Problema;0.007051504899159666;0.10832897130134422;Random Forest
Problema;0.044561262762946786;0.3043103423914935;Random Forest
Procurou Empresa;0.015710117496286667;0.04996047123539571;Random Forest
Região;-0.004700690392327034;0.048515075401721966;Random Forest
Sexo;-0.00014179902527532428;0.02827630789912184;Random Forest
UF;-0.0024077607870138353;0.0995542399021355;Random Forest
Área;-9.81995371391986e-05;0.004867918956739409;Random Forest
Assunto;-0.008957092316403315;0.08371150365459383;Gradient Boosting
Cidade;-0.008619434301190675;0.07401854362342945;Gradient Boosting
Como Comprou Contratou;0.0041372171127322275;0.030963443013326663;Gradient Boosting
Faixa Etária;-0.003937687270909584;0.09743930263288197;Gradient Boosting
Grupo Problema;0.00029290810087890807;0.11926755753967298;Gradient Boosting
Problema;0.06718248569681731;0.4555293197447379;Gradient Boosting
Procurou Empresa;0.019350510157377664;0.07931140857414429;Gradient Boosting
Região;-0.000836559375524093;0.028480710980504587;Gradient Boosting
Sexo;0.0004640377530210849;0.0022794170587870496;Gradient Boosting
UF;0.002509007238085037;0.02856873150700404;Gradient Boosting
Área;4.601157360273334e-06;0.000430061670917197;Gradient Boosting
