Variável;Gradient Boosting;KNN;Random Forest;Regressão Logística
Assunto;0.0;0.0;0.0;0.0
Cidade;0.0;0.0;0.009713517464321102;0.009129717953959391
Como Comprou Contratou;0.04404069963796905;0.0;0.0;0.041978185314120696
Faixa Etária;0.0;0.0;0.0;0.0
Grupo Problema;0.0031180083957007567;0.3118775781896485;0.10372416403044432;0.05235947790532416
Problema;0.7151579414094874;0.4282979690083962;0.6554742277465396;0.6497027327032479
Procurou Empresa;0.20598629041243077;0.16180306144053072;0.23108809075869502;0.23504389986214716
Região;0.0;0.0;0.0;0.0
Sexo;0.004939684513676229;0.05865516037788773;0.0;0.0
UF;0.0267083962845305;0.039366230983536754;0.0;0.010621946200420635
Área;4.89793462052577e-05;0.0;0.0;0.0011640400607802737
