Variável original;Importância;Modelo
Problema;0.3043103423914935;Random Forest
Assunto;0.11199856890760122;Random Forest
Grupo Problema;0.10832897130134422;Random Forest
UF;0.0995542399021355;Random Forest
Cidade;0.0934272080782585;Random Forest
Faixa Etária;0.08810256517101053;Random Forest
Como Comprou Contratou;0.06265833075517768;Random Forest
Procurou Empresa;0.04996047123539571;Random Forest
Região;0.048515075401721966;Random Forest
Sexo;0.02827630789912184;Random Forest
Área;0.004867918956739409;Random Forest
Problema;0.4555293197447379;Gradient Boosting
Grupo Problema;0.11926755753967298;Gradient Boosting
Faixa Etária;0.09743930263288197;Gradient Boosting
Assunto;0.08371150365459383;Gradient Boosting
Procurou Empresa;0.07931140857414429;Gradient Boosting
Cidade;0.07401854362342945;Gradient Boosting
Como Comprou Contratou;0.030963443013326663;Gradient Boosting
UF;0.02856873150700404;Gradient Boosting
Região;0.028480710980504587;Gradient Boosting
Sexo;0.0022794170587870496;Gradient Boosting
Área;0.000430061670917197;Gradient Boosting
