AAAA_MM;Avaliadas;Não Avaliadas;Total;Não Avaliadas (%)
2022_08;353;417;770;54.16
2022_09;398;403;801;50.31
2022_10;323;397;720;55.14
2022_11;397;419;816;51.35
2022_12;390;780;1170;66.67
2023_01;360;438;798;54.89
2023_02;297;307;604;50.83
2023_03;654;858;1512;56.75
2023_04;454;842;1296;64.97
2023_05;411;541;952;56.83
2023_06;613;564;1177;47.92
2023_07;738;891;1629;54.7
2023_08;768;1452;2220;65.41
2023_09;550;927;1477;62.76
2023_10;487;1260;1747;72.12
2023_11;459;1036;1495;69.3
2023_12;435;961;1396;68.84
2024_01;403;883;1286;68.66
2024_02;429;888;1317;67.43
2024_03;602;822;1424;57.72
2024_04;685;1127;1812;62.2
2024_05;631;648;1279;50.66
2024_06;616;1191;1807;65.91
2024_07;579;268;847;31.64
2024_08;627;1508;2135;70.63
2024_09;562;1609;2171;74.11
2024_10;867;2159;3026;71.35
2024_11;1143;4017;5160;77.85
2024_12;920;3367;4287;78.54
2025_01;1118;2693;3811;70.66
2025_02;1086;3145;4231;74.33
2025_03;970;2905;3875;74.97
2025_04;1661;5321;6982;76.21
2025_05;1618;3861;5479;70.47
2025_06;1733;4449;6182;71.97
2025_07;1722;3859;5581;69.15
2025_08;2022;4795;6817;70.34
2025_09;2220;5616;7836;71.67
2025_10;2223;5596;7819;71.57
2025_11;2109;4506;6615;68.12
2025_12;1947;11013;12960;84.98
2026_01;1895;6178;8073;76.53
2026_02;2443;7664;10107;75.83
2026_03;3186;7892;11078;71.24
2026_04;3231;8694;11925;72.91
2026_05;3754;9020;12774;70.61
2026_06;3676;12456;16132;77.21
2026_07;3366;11096;14462;76.73
