Modelo;Threshold;Precisão;Revocação;F1-score;Selecionadas;Cobertura
Regressão Logística;0.05;0.38461538461538464;1.0;0.5555555555555556;14027;1.0
Regressão Logística;0.06;0.38461538461538464;1.0;0.5555555555555556;14027;1.0
Regressão Logística;0.07;0.38461538461538464;1.0;0.5555555555555556;14027;1.0
Regressão Logística;0.08;0.38461538461538464;1.0;0.5555555555555556;14027;1.0
Regressão Logística;0.09;0.3846428062170255;1.0;0.5555841614746924;14026;0.9999287089185143
Regressão Logística;0.1;0.3846428062170255;1.0;0.5555841614746924;14026;0.9999287089185143
Regressão Logística;0.11;0.3846537830706696;0.9998146431881372;0.5555669996910083;14023;0.9997148356740572
Regressão Logística;0.12;0.38470865130875115;0.9998146431881372;0.5556242274412856;14021;0.9995722535110858
Regressão Logística;0.13;0.38469220343819105;0.9996292863762744;0.5555784485422891;14019;0.9994296713481143
Regressão Logística;0.14;0.38497786662858774;0.9994439295644115;0.5558476367197567;14006;0.9985028872888002
Regressão Logística;0.15;0.3853749284487693;0.9983317886932345;0.5560889990191523;13976;0.996364154844229
Regressão Logística;0.16;0.3860732232591529;0.9968489341983318;0.5565847347994826;13930;0.9930847650958865
Regressão Logística;0.17;0.38647830474268413;0.9938832252085265;0.5565415953085266;13874;0.989092464532687
Regressão Logística;0.18;0.38766487896796636;0.9914735866543095;0.5573907153649769;13798;0.9836743423397732
Regressão Logística;0.19;0.3890430971512053;0.9872103799814643;0.5581346607283206;13690;0.975974905539317
Regressão Logística;0.2;0.3911632367042856;0.9829471733086191;0.559624314056564;13557;0.9664931917017181
Regressão Logística;0.21;0.39407727883037447;0.9792400370713624;0.5619913834370512;13406;0.9557282383973765
Regressão Logística;0.22;0.3962463254692093;0.9744207599629287;0.5633908477119279;13267;0.9458187780708633
Regressão Logística;0.23;0.4002451731535397;0.9683039851714551;0.5663793570770315;13052;0.9304911955514366
Regressão Logística;0.24;0.4050632911392405;0.9608897126969416;0.5698895179464629;12798;0.9123832608540672
Regressão Logística;0.25;0.4090909090909091;0.9542168674698795;0.5726681127982647;12584;0.897126969416126
Regressão Logística;0.26;0.41342412451361865;0.9453197405004634;0.5752636625119847;12336;0.879446781207671
Regressão Logística;0.27;0.4182059140230266;0.9358665430954588;0.5780856423173804;12073;0.8606972267769302
Regressão Logística;0.28;0.422660348620748;0.9258572752548656;0.5803752977400801;11818;0.8425180009980752
Regressão Logística;0.29;0.4270022487458917;0.9151065801668211;0.5822963967682963;11562;0.8242674841377343
Regressão Logística;0.3;0.43115524425924284;0.9013901760889713;0.5833033465275279;11279;0.8040921080772795
Regressão Logística;0.31;0.4361025268133067;0.8893419833178869;0.5852290053058486;11002;0.784344478505739
Regressão Logística;0.32;0.4409845235875443;0.8767377201112141;0.5868122324917809;10726;0.7646681400156841
Regressão Logística;0.33;0.44506125574272587;0.8619091751621872;0.5870100359780345;10448;0.7448492193626577
Regressão Logística;0.34;0.4503194103194103;0.8493049119555144;0.588567758509955;10175;0.72538675411706
Regressão Logística;0.35;0.4547570850202429;0.832808155699722;0.5882815057283143;9880;0.7043558850787767
Regressão Logística;0.36;0.4588346061303484;0.8129749768303985;0.586598903303464;9559;0.681471447921865
Regressão Logística;0.37;0.4628990509059534;0.7955514365152919;0.5852594259221381;9272;0.6610109075354673
Regressão Logística;0.38;0.46667412212033105;0.7734939759036145;0.5821301527516217;8942;0.6374848506451843
