Modelo;Top (%);Selecionadas;Resolvidas no Top;Precision@k;Recall;Lift
Regressão Logística;5.0;702;443;0.6310541310541311;0.08211306765523634;16.407.407.407.407.400
Regressão Logística;10.0;1403;874;0.6229508196721312;0.16200185356811864;1.619.672.131.147.540
Regressão Logística;20.0;2806;1608;0.5730577334283677;0.2980537534754402;1.489.950.106.913.750
Regressão Logística;30.0;4209;2278;0.5412211926823474;0.4222428174235403;14.071.751.009.741.000
Regressão Logística;50.0;7014;3489;0.4974337040205304;0.6467099165894347;1.293.327.630.453.370
KNN;5.0;702;452;0.6438746438746439;0.08378127896200185;1.674.074.074.074.070
KNN;10.0;1403;850;0.6058446186742694;0.15755329008341057;15.751.960.085.531.000
KNN;20.0;2806;1514;0.5395580898075553;0.28063021316033365;14.028.510.334.996.400
KNN;30.0;4209;2144;0.5093846519363269;0.3974050046339203;13.244.000.950.344.400
KNN;50.0;7014;3296;0.4699173082406615;0.6109360518999073;12.217.850.014.257.100
Random Forest;5.0;702;479;0.6823361823361823;0.08878591288229842;1.774.074.074.074.070
Random Forest;10.0;1403;888;0.6329294369208838;0.16459684893419832;16.456.165.359.942.900
Random Forest;20.0;2806;1620;0.5773342836778332;0.3002780352177943;15.010.691.375.623.600
Random Forest;30.0;4209;2277;0.5409836065573771;0.4220574606116775;14.065.573.770.491.800
Random Forest;50.0;7014;3477;0.4957228400342173;0.6444856348470807;1.288.879.384.088.960
Gradient Boosting;5.0;702;475;0.6766381766381766;0.08804448563484708;1.759.259.259.259.250
Gradient Boosting;10.0;1403;895;0.6379187455452602;0.16589434661723818;16.585.887.384.176.700
Gradient Boosting;20.0;2806;1597;0.5691375623663578;0.29601482854494904;14.797.576.621.525.300
Gradient Boosting;30.0;4209;2275;0.5405084343074364;0.42168674698795183;14.053.219.291.993.300
Gradient Boosting;50.0;7014;3500;0.499001996007984;0.6487488415199258;12.974.051.896.207.500
