Modelo;Threshold;Precisão;Revocação;F1-score;Selecionadas;Cobertura;Cobertura (%)
Regressão Logística;0.3;0.43115524425924284;0.9013901760889713;0.5833033465275279;11279;0.8040921080772795;80.40921080772794
Regressão Logística;0.4;0.4782925054571914;0.7310472659870251;0.5782567260464775;8246;0.5878662579311328;58.78662579311328
Regressão Logística;0.5;0.5305492696975931;0.47803521779425395;0.5029251170046802;4861;0.3465459471020175;34.65459471020175
Regressão Logística;0.6;0.5830132309005548;0.25319740500463395;0.3530628069268545;2343;0.16703500392100948;16.70350039210095
Regressão Logística;0.7;0.6303724928366762;0.08155699721964782;0.14442803216806172;698;0.04976117487702288;4.976117487702289
Regressão Logística;0.8;0.660377358490566;0.006487488415199258;0.012848751835535976;53;0.0037784273187424252;0.3778427318742425
KNN;0.3;0.4254555246387218;0.8785912882298424;0.5732946298984035;11141;0.794253938832252;79.4253938832252
KNN;0.4;0.458225984541774;0.6923076923076923;0.5514543038535361;8151;0.5810936051899908;58.109360518999075
KNN;0.5;0.5032433563507009;0.4457831325301205;0.472773736976607;4779;0.3407000784201896;34.07000784201896
KNN;0.6;0.5595516113965436;0.22205746061167747;0.3179405520169851;2141;0.15263420546089684;15.263420546089684
KNN;0.7;0.6443514644351465;0.08563484708063021;0.1511780104712042;717;0.051115705425251304;5.11157054252513
KNN;0.8;0.7022222222222222;0.02928637627432808;0.056227758007117434;225;0.01604049333428388;1.604049333428388
Random Forest;0.3;0.4186046511627907;0.9375347544022243;0.5787847579814624;12083;0.8614101375917873;86.14101375917873
Random Forest;0.4;0.4665787159190853;0.7866543095458758;0.5857428748878615;9096;0.648463677193983;64.8463677193983
Random Forest;0.5;0.5370971230802509;0.4602409638554217;0.49570772609303254;4623;0.3295786697084195;32.95786697084195
Random Forest;0.6;0.6328233657858137;0.1686746987951807;0.2663544563149422;1438;0.10251657517644543;10.251657517644542
Random Forest;0.7;0.7142857142857143;0.03521779425393883;0.06712594947889065;266;0.018963427675197833;1.8963427675197833
Random Forest;0.8;0.0;0.0;0.0;0;0.0;0.0
Gradient Boosting;0.3;0.4301131418624891;0.9160333642261353;0.5853716316257033;11490;0.8191345262707636;81.91345262707635
Gradient Boosting;0.4;0.4673166408154221;0.7818350324374421;0.5849802371541502;9026;0.6434733014899836;64.34733014899837
Gradient Boosting;0.5;0.529336462556006;0.45987025023169603;0.49216425312438006;4687;0.3341412989235047;33.414129892350466
Gradient Boosting;0.6;0.6212389380530974;0.19518072289156627;0.2970380818053597;1695;0.1208383831182719;12.08383831182719
Gradient Boosting;0.7;0.7228260869565217;0.04930491195551436;0.09231303140725317;368;0.02623511798673986;2.6235117986739858
Gradient Boosting;0.8;1.0;0.0005560704355885078;0.0011115227862171174;3;0.00021387324445711842;0.02138732444571184
