AAAA_MM;Amostra
2022_08;Treino
2022_09;Treino
2022_10;Treino
2022_11;Treino
2022_12;Treino
2023_01;Treino
2023_02;Treino
2023_03;Treino
2023_04;Treino
2023_05;Treino
2023_06;Treino
2023_07;Treino
2023_08;Treino
2023_09;Treino
2023_10;Treino
2023_11;Treino
2023_12;Treino
2024_01;Treino
2024_02;Treino
2024_03;Treino
2024_04;Treino
2024_05;Treino
2024_06;Treino
2024_07;Treino
2024_08;Teste
2024_09;Teste
2024_10;Teste
2024_11;Teste
2024_12;Teste
2025_01;Teste
2025_02;Teste
2025_03;Teste
2025_04;Teste
2025_05;Teste
2025_06;Teste
2025_07;Teste
2025_08;OOT
2025_09;OOT
2025_10;OOT
2025_11;OOT
2025_12;OOT
2026_01;OOT
2026_02;OOT
2026_03;OOT
2026_04;OOT
2026_05;OOT
2026_06;OOT
2026_07;OOT
