Variável;Categorias totais;Categorias freq < 2;Registros em categorias freq < 2 (%);Categorias freq < 5;Registros em categorias freq < 5 (%);Categorias freq < 10;Registros em categorias freq < 10 (%)
Cidade;1774;832;6.91;1404;19.13;1597;29.21
Problema;85;6;0.05;18;0.34;22;0.59
UF;27;0;0.0;0;0.0;0;0.0
Assunto;27;1;0.01;3;0.06;7;0.27
Como Comprou Contratou;9;0;0.0;0;0.0;1;0.07
Grupo Problema;8;0;0.0;0;0.0;0;0.0
Faixa Etária;7;0;0.0;0;0.0;0;0.0
Região;5;0;0.0;0;0.0;0;0.0
Sexo;3;0;0.0;1;0.02;1;0.02
Área;3;0;0.0;0;0.0;0;0.0
Procurou Empresa;2;0;0.0;0;0.0;0;0.0
