Modelo;Métrica;Estimativa;IC 95% Inferior;IC 95% Superior;N Bootstrap Válidos
Regressão Logística;Precisão @0,50;0.43261231281198004;0.42209283403563896;0.44320090826990804;300
Regressão Logística;Revocação @0,50;0.3978576893649579;0.3874508015926891;0.40768965001016716;300
Regressão Logística;F1 @0,50;0.41450777202072536;0.40546599831449615;0.4233770065105355;300
Regressão Logística;ROC-AUC;0.64326052823119;0.6378029264834221;0.6503290233339916;300
Regressão Logística;PR-AUC (AP);0.41059120943541205;0.40093766309395945;0.42123664612668565;300
Regressão Logística;KS;0.21735597340003437;0.207832492761772;0.22913168287032765;300
Regressão Logística;Precisão Operacional;0.4783487297921478;0.4642636267454103;0.49494185524176376;300
Regressão Logística;Revocação Operacional;0.18111268991146573;0.17425198897786498;0.18900464902361716;300
Regressão Logística;Lift Operacional;1.6768609095959957;1.6267575997864563;1.7291729927643142;300
Regressão Logística;Cobertura Operacional;0.10800698428535795;0.10476272137690197;0.11084590920429034;300
Regressão Logística;Brier Score;0.20932902845604354;0.2075507460192243;0.21082693077424491;300
KNN;Precisão @0,50;0.395895477866603;0.38575044802867386;0.40523918391895936;300
KNN;Revocação @0,50;0.36266258607498086;0.35283165124009136;0.3713412568200265;300
KNN;F1 @0,50;0.37855105533371364;0.369000946698032;0.3868783972130396;300
KNN;ROC-AUC;0.6089914818735711;0.6026416240206106;0.6160987283012863;300
KNN;PR-AUC (AP);0.3705576455013947;0.3608672406399951;0.3798117848214839;300
KNN;KS;0.1661276330129286;0.1547439056638747;0.17829611751923716;300
KNN;Precisão Operacional;0.4376402693170888;0.4209252613915064;0.4548123081741695;300
KNN;Revocação Operacional;0.14919663351185922;0.14247730117116023;0.15599601109292563;300
KNN;Lift Operacional;1.5341565982662229;1.4821756856409174;1.5927789258387357;300
KNN;Cobertura Operacional;0.0972499376403093;0.09377260538787727;0.10054330880518833;300
KNN;Brier Score;0.21646674145503522;0.21458978046663477;0.21810032282333533;300
Random Forest;Precisão @0,50;0.443017044009158;0.43182760119492625;0.45387614795235964;300
Random Forest;Revocação @0,50;0.3806973439720188;0.37168673577327876;0.3909287344281463;300
Random Forest;F1 @0,50;0.4094997354652872;0.399736800388039;0.4184655762434734;300
Random Forest;ROC-AUC;0.6481329757198664;0.6420904222957193;0.654614362035303;300
Random Forest;PR-AUC (AP);0.4158049071211538;0.40585793709317786;0.42592131261292365;300
Random Forest;KS;0.22442724524294905;0.2150438483525562;0.23668533079381596;300
Random Forest;Precisão Operacional;0.5053507728894173;0.4798565983701489;0.530811681984568;300
Random Forest;Revocação Operacional;0.09290632856049842;0.08710021612744684;0.09844967509551215;300
Random Forest;Lift Operacional;1.7715171043949494;1.6886673813437239;1.860345191730878;300
Random Forest;Cobertura Operacional;0.05244449987528062;0.05005846221002744;0.05475180843103018;300
Random Forest;Brier Score;0.20940987072090414;0.20789260327088294;0.21064449941098717;300
Gradient Boosting;Precisão @0,50;0.4374841812199443;0.4256224985597744;0.44831328721444563;300
Gradient Boosting;Revocação @0,50;0.37785550333369766;0.3680934772230498;0.38674200518533;300
Gradient Boosting;F1 @0,50;0.40548941411060935;0.39631004150558247;0.41424566617605735;300
Gradient Boosting;ROC-AUC;0.6449647514499003;0.6388297376675449;0.6520817858036222;300
Gradient Boosting;PR-AUC (AP);0.4110580688907869;0.4014215451921167;0.4204856090981385;300
Gradient Boosting;KS;0.2202692703583531;0.20953634787680772;0.23240922442765669;300
Gradient Boosting;Precisão Operacional;0.5038866026520348;0.4858482609884916;0.5236832876703494;300
Gradient Boosting;Revocação Operacional;0.12045032243961089;0.11478880719290441;0.1275670786442107;300
Gradient Boosting;Lift Operacional;1.7663844267412896;1.7049552567409691;1.8350128183099494;300
Gradient Boosting;Cobertura Operacional;0.068190321776004;0.06550729608381142;0.07098325642304815;300
Gradient Boosting;Brier Score;0.20865357856046957;0.20706923057527624;0.210085571523735;300
