Modelo;Variável;Importância Média;Desvio Padrão;Ranking
Gradient Boosting;Problema;0.0671824856968173;0.0115723905931838;1
Gradient Boosting;Procurou Empresa;0.0193505101573776;0.0114244289251597;2
Gradient Boosting;Como Comprou Contratou;0.0041372171127322;0.001607056026586;3
KNN;Problema;0.0327539658657684;0.0080184599988422;1
KNN;Grupo Problema;0.0238507494536403;0.0044921898191952;2
KNN;Procurou Empresa;0.01237384329342;0.0065918621226184;3
Random Forest;Problema;0.0445612627629467;0.0103487615591514;1
Random Forest;Procurou Empresa;0.0157101174962866;0.0087795233602052;2
Random Forest;Grupo Problema;0.0070515048991596;0.0034612941002655;3
Regressão Logística;Problema;0.0673570244823499;0.0111655606801128;1
Regressão Logística;Procurou Empresa;0.024367848433651;0.009899594373901;2
Regressão Logística;Grupo Problema;0.0054282958307377;0.0021865987689731;3
