AAAA_MM;Resolvida;Não Resolvida;Total Avaliadas;Resolvida (%);Não Resolvida (%)
2022_08;199;154;353;56.37;43.63
2022_09;215;183;398;54.02;45.98
2022_10;175;148;323;54.18;45.82
2022_11;189;208;397;47.61;52.39
2022_12;211;179;390;54.1;45.9
2023_01;188;172;360;52.22;47.78
2023_02;150;147;297;50.51;49.49
2023_03;245;409;654;37.46;62.54
2023_04;196;258;454;43.17;56.83
2023_05;203;208;411;49.39;50.61
2023_06;218;395;613;35.56;64.44
2023_07;268;470;738;36.31;63.69
2023_08;297;471;768;38.67;61.33
2023_09;241;309;550;43.82;56.18
2023_10;227;260;487;46.61;53.39
2023_11;217;242;459;47.28;52.72
2023_12;200;235;435;45.98;54.02
2024_01;182;221;403;45.16;54.84
2024_02;196;233;429;45.69;54.31
2024_03;270;332;602;44.85;55.15
2024_04;317;368;685;46.28;53.72
2024_05;291;340;631;46.12;53.88
2024_06;321;295;616;52.11;47.89
2024_07;290;289;579;50.09;49.91
2024_08;301;326;627;48.01;51.99
2024_09;290;272;562;51.6;48.4
2024_10;406;461;867;46.83;53.17
2024_11;447;696;1143;39.11;60.89
2024_12;401;519;920;43.59;56.41
2025_01;418;700;1118;37.39;62.61
2025_02;438;648;1086;40.33;59.67
2025_03;364;606;970;37.53;62.47
2025_04;641;1020;1661;38.59;61.41
2025_05;579;1039;1618;35.78;64.22
2025_06;554;1179;1733;31.97;68.03
2025_07;556;1166;1722;32.29;67.71
2025_08;633;1389;2022;31.31;68.69
2025_09;670;1550;2220;30.18;69.82
2025_10;709;1514;2223;31.89;68.11
2025_11;507;1602;2109;24.04;75.96
2025_12;515;1432;1947;26.45;73.55
2026_01;554;1341;1895;29.23;70.77
2026_02;650;1793;2443;26.61;73.39
2026_03;857;2329;3186;26.9;73.1
2026_04;858;2373;3231;26.56;73.44
2026_05;1058;2696;3754;28.18;71.82
2026_06;1163;2513;3676;31.64;68.36
2026_07;975;2391;3366;28.97;71.03
