AAAA_MM;Quantidade;Percentual (%)
2022_08;770;0.37
2022_09;801;0.38
2022_10;720;0.34
2022_11;816;0.39
2022_12;1170;0.56
2023_01;798;0.38
2023_02;604;0.29
2023_03;1512;0.72
2023_04;1296;0.62
2023_05;952;0.45
2023_06;1177;0.56
2023_07;1629;0.78
2023_08;2220;1.06
2023_09;1477;0.7
2023_10;1747;0.83
2023_11;1495;0.71
2023_12;1396;0.67
2024_01;1286;0.61
2024_02;1317;0.63
2024_03;1424;0.68
2024_04;1812;0.86
2024_05;1279;0.61
2024_06;1807;0.86
2024_07;847;0.4
2024_08;2135;1.02
2024_09;2171;1.03
2024_10;3026;1.44
2024_11;5160;2.46
2024_12;4287;2.04
2025_01;3811;1.82
2025_02;4231;2.02
2025_03;3875;1.85
2025_04;6982;3.33
2025_05;5479;2.61
2025_06;6182;2.95
2025_07;5581;2.66
2025_08;6817;3.25
2025_09;7836;3.73
2025_10;7819;3.73
2025_11;6615;3.15
2025_12;12960;6.18
2026_01;8073;3.85
2026_02;10107;4.82
2026_03;11078;5.28
2026_04;11925;5.68
2026_05;12774;6.09
2026_06;16132;7.69
2026_07;14462;6.89
